model,epoch,loss,accuracy,macro_f1
Syntax-GAT,1,1.0053,0.5094,0.3808
Syntax-GAT,2,0.7762,0.6176,0.5311
Syntax-GAT,3,0.5533,0.6364,0.5639
Syntax-GAT,4,0.3996,0.6129,0.5247
Syntax-GAT,5,0.3527,0.5752,0.5234
Syntax-GAT,6,0.2993,0.6254,0.5612
Syntax-GAT,7,0.2716,0.5752,0.4913
Syntax-GAT,8,0.2380,0.6066,0.5413
